time,EMA
2021-06-18,136.3978
2021-06-17,136.2620
2021-06-16,136.0734
2021-06-15,135.8359
2021-06-14,135.5627
2021-06-11,135.2704
2021-06-10,134.9470
2021-06-09,134.6320
2021-06-08,134.3080
2021-06-07,134.0098
2021-06-04,133.7267
2021-06-03,133.4501
2021-06-02,133.2056
2021-06-01,132.9528
2021-05-28,132.7258
2021-05-27,132.5033
2021-05-26,132.2747
2021-05-25,132.0503
2021-05-24,131.8132
2021-05-21,131.5524
2021-05-20,131.2860
2021-05-19,131.0316
2021-05-18,130.7860
2021-05-17,130.5208
2021-05-14,130.2261
2021-05-13,129.9341
2021-05-12,129.6465
2021-05-11,129.4111
2021-05-10,129.1119
2021-05-07,128.7673
2021-05-06,128.4301
2021-05-05,128.0597
2021-05-04,127.7457
2021-05-03,127.4148
2021-04-30,127.0972
2021-04-29,126.8305
2021-04-28,126.5113
2021-04-27,126.2104
2021-04-26,125.9232
2021-04-23,125.6390
2021-04-22,125.3319
2021-04-21,125.0415
2021-04-20,124.6999
2021-04-19,124.4591
2021-04-16,124.3141
2021-04-15,124.1568
2021-04-14,124.0165
2021-04-13,123.8724
2021-04-12,123.7543
2021-04-09,123.5657
2021-04-08,123.3505
2021-04-07,123.1432
2021-04-06,122.9355
2021-04-05,122.7377
2021-04-01,122.5018
2021-03-31,122.3151
2021-03-30,122.1240
2021-03-29,121.8999
2021-03-26,121.6485
2021-03-25,121.3816
2021-03-24,121.1754
2021-03-23,121.0141
2021-03-22,120.8526
2021-03-19,120.6861
2021-03-18,120.5492
2021-03-17,120.3864
2021-03-16,120.2408
2021-03-15,120.1081
2021-03-12,119.9659
2021-03-11,119.8402
2021-03-10,119.7214
2021-03-09,119.5856
2021-03-08,119.5207
2021-03-05,119.4420
2021-03-04,119.4012
2021-03-03,119.4139
2021-03-02,119.3820
2021-03-01,119.3899
2021-02-26,119.3898
2021-02-25,119.4259
2021-02-24,119.3920
2021-02-23,119.3426
2021-02-22,119.3422
2021-02-19,119.3387
2021-02-18,119.3726
2021-02-17,119.3724
2021-02-16,119.3873
2021-02-12,119.4006
2021-02-11,119.3995
2021-02-10,119.3962
2021-02-09,119.3663
2021-02-08,119.3386
2021-02-05,119.3126
2021-02-04,119.3221
2021-02-03,119.3469
2021-02-02,119.4096
2021-02-01,119.4674
2021-01-29,119.5046
2021-01-28,119.5707
2021-01-27,119.6191
2021-01-26,119.6213
2021-01-25,119.6232
2021-01-22,119.7022
2021-01-21,119.7821
2021-01-20,119.6067
2021-01-19,119.4586
2021-01-15,119.3285
2021-01-14,119.2081
2021-01-13,119.0739
2021-01-12,118.9774
2021-01-11,118.8338
2021-01-08,118.6997
2021-01-07,118.5639
2021-01-06,118.4162
2021-01-05,118.2597
2021-01-04,118.1621
2020-12-31,118.1059
2020-12-30,118.0104
2020-12-29,117.9432
2020-12-28,117.8854
2020-12-24,117.8062
2020-12-23,117.7281
2020-12-22,117.6639
2020-12-21,117.6041
2020-12-18,117.5475
2020-12-17,117.4413
2020-12-16,117.3388
2020-12-15,117.2342
2020-12-14,117.1200
2020-12-11,117.0509
2020-12-10,116.9657
2020-12-09,116.8652
2020-12-08,116.7267
2020-12-07,116.6066
2020-12-04,116.5040
2020-12-03,116.3500
2020-12-02,116.2637
2020-12-01,116.1558
2020-11-30,116.0744
2020-11-27,115.9843
2020-11-25,115.8761
2020-11-24,115.7686
2020-11-23,115.6546
2020-11-20,115.6236
2020-11-19,115.6541
2020-11-18,115.6805
2020-11-17,115.7156
2020-11-16,115.7330
2020-11-13,115.7377
2020-11-12,115.7723
2020-11-11,115.8539
2020-11-10,115.8840
2020-11-09,115.9006
2020-11-06,115.9645
2020-11-05,116.0904
2020-11-04,116.2046
2020-11-03,116.3769
2020-11-02,116.5087
2020-10-30,116.6676
2020-10-29,116.8539
2020-10-28,117.0974
2020-10-27,117.3898
2020-10-26,117.6121
2020-10-23,117.8066
2020-10-22,117.9316
2020-10-21,118.0638
2020-10-20,118.2122
2020-10-19,118.3187
2020-10-16,118.2690
2020-10-15,118.2103
2020-10-14,118.1706
2020-10-13,118.1097
2020-10-12,118.0638
2020-10-09,117.9761
2020-10-08,117.8753
2020-10-07,117.7005
2020-10-06,117.6665
2020-10-05,117.6726
2020-10-02,117.6780
2020-10-01,117.7115
2020-09-30,117.7356
2020-09-29,117.7489
2020-09-28,117.7767
2020-09-25,117.7897
2020-09-24,117.8570
2020-09-23,117.9423
2020-09-22,118.0150
2020-09-21,118.0565
2020-09-18,118.1039
2020-09-17,118.1035
2020-09-16,118.0610
2020-09-15,118.0314
2020-09-14,118.0357
2020-09-11,118.0469
2020-09-10,118.0706
2020-09-09,118.1122
2020-09-08,118.1217
2020-09-04,118.1517
2020-09-03,118.1612
2020-09-02,118.1291
2020-09-01,118.0238
2020-08-31,118.0093
2020-08-28,117.9962
2020-08-27,117.9487
2020-08-26,117.9084
2020-08-25,117.8766
2020-08-24,117.8350
2020-08-21,117.7724
2020-08-20,117.7575
2020-08-19,117.7425
2020-08-18,117.7137
2020-08-17,117.6634
2020-08-14,117.6214
2020-08-13,117.5625
2020-08-12,117.5070
2020-08-11,117.4179
2020-08-10,117.3260
2020-08-07,117.2253
2020-08-06,117.1643
2020-08-05,117.1112
2020-08-04,117.0698
2020-08-03,117.0201
2020-07-31,116.9987
2020-07-30,117.0033
2020-07-29,117.0086
2020-07-28,116.9677
2020-07-27,116.9422
2020-07-24,116.8828
2020-07-23,116.8303
2020-07-22,116.7471
2020-07-21,116.6366
2020-07-20,116.5739
2020-07-17,116.5041
2020-07-16,116.4569
2020-07-15,116.4300
2020-07-14,116.4218
2020-07-13,116.4596
2020-07-10,116.5250
2020-07-09,116.6080
2020-07-08,116.7433
2020-07-07,116.8430
2020-07-06,116.9473
2020-07-02,117.0035
2020-07-01,117.0703
2020-06-30,117.1607
2020-06-29,117.2101
2020-06-26,117.2801
2020-06-25,117.4006
2020-06-24,117.4883
2020-06-23,117.6278
2020-06-22,117.7127
2020-06-19,117.7676
2020-06-18,117.7966
2020-06-17,117.7938
2020-06-16,117.7912
2020-06-15,117.7693
2020-06-12,117.8141
2020-06-11,117.8549
2020-06-10,117.9713
2020-06-09,117.8625
2020-06-08,117.7131
2020-06-05,117.4862
2020-06-04,117.3255
2020-06-03,117.2225
2020-06-02,117.1143
2020-06-01,117.0624
2020-05-29,117.0308
2020-05-28,116.9983
2020-05-27,116.9723
2020-05-26,116.9264
